objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Clash of Cultures","40765","9","","0","1","0","0","0","0","0","0","0","1","","","","","","28836059","7.14933","7.64032","3.5948","251","5874","thing","Clash of Cultures","2","4","240","240","180","2012","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Clash of Cultures: Civilizations","146244","0","","0","1","0","0","0","0","0","0","0","1","","","","","","29008153","6.59119","8.52551","3.7941","0","1944","thing","Clash of Cultures: Civilizations","2","4","240","240","180","2014","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Clockwork Wars","139952","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36530927","6.0951","7.63176","3.0667","1916","1086","thing","Clockwork Wars","2","4","90","90","90","2015","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","7","","0","1","0","0","0","0","0","0","0","1","","","","","","30002390","7.58895","7.67568","1.3064","65","88543","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Duet","224037","8","","0","1","0","0","0","0","0","0","0","3","","","","","","48588220","7.3854","7.65722","1.3057","129","19386","thing","Codenames: Duet","2","4","30","30","15","2017","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Pictures","198773","7","","0","0","0","0","0","0","0","0","0","3","","","","","","48588116","7.1264","7.31147","1.2722","264","24875","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Colony","192934","0","","0","0","0","0","0","0","0","0","1","4","","","","","","37013578","6.1137","6.67039","2.3462","1866","2462","thing","Colony","1","4","60","60","45","2016","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Concordia","124361","10","","0","1","0","0","0","0","0","0","0","3","","","","","","25884413","7.94137","8.10754","3.0597","18","25508","thing","Concordia","2","5","100","100","100","2013","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Concordia: Britannia / Germania","165023","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073404","6.73844","8.08043","3.0385","0","5136","thing","Concordia: Britannia / Germania","2","5","100","100","100","2014","2,3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Concordia: Salsa","181084","0","","0","1","0","0","0","0","0","0","0","1","","","","","","31253071","7.31247","8.33547","3.1458","0","7881","thing","Concordia: Salsa","2","5","90","90","90","2015","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Core Worlds","98351","0","","0","0","0","0","0","0","0","0","1","2","","","","","","28902407","6.74873","7.19785","2.8956","631","4749","thing","Core Worlds","2","5","120","120","60","2011","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Core Worlds","98351","7","","0","1","0","0","0","0","0","0","0","3","","","","","","38116305","6.74873","7.19785","2.8956","631","4749","thing","Core Worlds","2","5","120","120","60","2011","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter","39463","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735318","7.38617","7.54559","2.5711","128","30700","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Council of Verona","140863","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735252","5.97431","6.35422","1.3846","2405","3007","thing","Council of Verona","2","5","20","20","20","2013","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup","131357","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735256","6.90306","7.02445","1.417","456","50877","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"CO₂","72225","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46956757","6.71804","7.19414","3.8684","664","4118","thing","CO₂","1","5","120","120","120","2012","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cry Havoc","192457","0","","0","0","0","0","0","0","0","0","1","2","","","","","","37013419","6.86784","7.27746","3.2897","488","8220","thing","Cry Havoc","2","4","120","120","60","2016","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cyclades","54998","9","","0","1","0","0","0","0","0","0","0","1","","","","","","21734869","7.3207","7.52527","2.8299","160","17587","thing","Cyclades","2","5","90","90","60","2009","2,3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cyclades: Titans","155820","0","","0","0","0","0","0","0","0","0","0","1","","","","","","25796964","6.84583","8.08076","3.125","0","4970","thing","Cyclades: Titans","2","6","90","90","60","2014","3,4,5,6","5,6","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Cyclades: Titans","155820","9","","0","1","0","0","0","0","0","0","0","3","","","","","","27485688","6.84583","8.08076","3.125","0","4970","thing","Cyclades: Titans","2","6","90","90","60","2014","3,4,5,6","5,6","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dale of Merchants","176165","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073423","6.62845","7.20822","2.0652","772","4712","thing","Dale of Merchants","2","4","30","30","30","2015","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dark Horse","98443","0","","0","0","0","0","0","0","0","0","1","1","","","","","","24834089","5.70525","6.75574","2.6667","4434","516","thing","Dark Horse","1","4","90","90","90","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Darkest Night","128445","8","","0","1","0","0","0","0","0","0","0","3","","","","","","21735159","6.14535","7.14093","2.7846","1766","1726","thing","Darkest Night","1","4","150","150","150","2012","1,2,3,4","","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Darkest Night: From the Abyss","164212","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073428","5.67959","7.70975","2.5","0","614","thing","Darkest Night: From the Abyss","1","4","150","150","150","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Darkest Night: In Tales of Old","179927","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34054309","5.6418","7.81655","3","0","455","thing","Darkest Night: In Tales of Old","1","4","150","0","150","2015","1","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Darkest Night: On Shifting Winds","149257","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073430","5.7131","7.58772","2.8571","0","729","thing","Darkest Night: On Shifting Winds","1","4","150","0","150","2013","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Darkest Night: With an Inner Light","145056","0","","0","1","0","0","0","0","0","0","0","3","","","","","","24744027","5.81834","7.62705","2.6667","0","955","thing","Darkest Night: With an Inner Light","1","4","150","150","150","2013","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","7","","0","1","0","0","0","0","0","0","0","3","","","","","","28836250","7.49346","7.63852","3.0052","89","47240","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deception: Murder in Hong Kong","156129","0","","0","0","0","0","0","0","0","0","1","3","","","","","","48588069","7.29177","7.51566","1.6","172","19081","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Decrypto","225694","0","","0","0","0","0","0","0","0","0","1","2","","","","","","48088853","7.41261","7.80662","1.823","115","11378","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Defenders of the Realm","65532","6","","0","0","0","0","0","0","0","0","1","4","","","","","","21757348","6.90046","7.32215","2.713","458","6542","thing","Defenders of the Realm","1","4","90","90","90","2010","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition)","104162","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735193","7.47977","7.71515","3.2029","95","32276","thing","Descent: Journeys in the Dark (Second Edition)","2","5","120","120","120","2012","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition) – Forgotten Souls","153235","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744109","6.13218","7.83815","2.7692","0","2995","thing","Descent: Journeys in the Dark (Second Edition) – Forgotten Souls","1","4","150","150","150","2014","1,2,3,4","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition) – Labyrinth of Ruin","137842","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744104","6.73544","8.17641","3.2391","0","6801","thing","Descent: Journeys in the Dark (Second Edition) – Labyrinth of Ruin","2","5","90","90","90","2013","2,3,4,5","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition) – The Trollfens","143827","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24744106","6.54407","8.03896","3.0417","0","5987","thing","Descent: Journeys in the Dark (Second Edition) – The Trollfens","2","5","60","60","60","2013","2,3,4,5","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Deus","162082","8","","0","1","0","0","0","0","0","0","0","3","","","","","","27485656","7.02598","7.34419","2.8428","336","7920","thing","Deus","2","4","90","90","60","2014","2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Forge","194594","7","","0","1","0","0","0","0","0","0","0","1","","","","","","46956711","7.06507","7.31866","1.9481","303","16565","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Discoveries: The Journals of Lewis and Clark","171669","0","","0","0","0","0","0","0","0","0","1","2","","","","","","30002430","6.70814","7.11854","2.372","675","6060","thing","Discoveries: The Journals of Lewis and Clark","2","4","60","60","60","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","7","","0","0","0","0","0","0","0","0","0","3","","","","","","48588111","7.17594","7.28015","1.2321","236","59653","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominant Species","62219","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21770953","7.65024","7.85239","4.0389","52","17553","thing","Dominant Species","2","6","240","240","120","2010","3,4,5,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","6","","0","0","0","0","0","0","0","0","0","3","","","","","","24834170","7.53133","7.63577","2.3609","80","92472","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Downfall of Pompeii","13004","8","","0","1","0","0","0","0","0","0","0","3","","","","","","23896210","6.8565","7.13047","1.8452","499","7404","thing","The Downfall of Pompeii","2","4","45","45","45","2004","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Draco Magi","142262","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073455","5.78546","6.47678","2.0588","3585","2065","thing","Draco Magi","2","2","30","30","30","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon's Hoard","136594","6","","0","1","0","0","0","0","0","0","0","1","","","","","","23030979","5.92434","6.50259","1.4364","2637","2189","thing","Dragon's Hoard","2","4","45","45","25","2014","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Alliance","209660","7","","0","1","0","0","0","0","0","0","0","3","","","","","","53068331","6.03987","7.62056","3.5806","2130","1473","thing","Dungeon Alliance","1","4","180","180","60","2018","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Fighter","102548","7","","0","1","0","0","0","0","0","0","0","1","","","","","","22260126","6.54343","6.84627","1.75","902","7355","thing","Dungeon Fighter","1","6","60","60","45","2011","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Guilds","148975","5","","0","1","0","0","0","0","0","0","0","1","","","","","","23030971","5.6265","6.54478","1.4444","5905","241","thing","Dungeon Guilds","3","6","20","20","20","2013","4,5,6","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Petz","97207","8","","0","1","0","0","0","0","0","0","0","1","","","","","","28836269","7.27882","7.49896","3.5829","180","15176","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Petz: Dark Alleys","143061","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073470","6.3329","7.79786","3.825","0","3847","thing","Dungeon Petz: Dark Alleys","2","4","120","120","90","2013","2,3,4","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeons & Dragons Dice Masters: Battle for Faerûn","160902","8","","0","1","0","0","0","0","0","0","0","3","","","","","","28836202","6.41622","7.32442","2.193","1112","3463","thing","Dungeons & Dragons Dice Masters: Battle for Faerûn","2","2","60","60","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons Dice Masters: Faerûn Under Siege","183572","8","","0","1","0","0","0","0","0","0","0","3","","","","","","34054272","5.93814","7.64528","2.4","2566","983","thing","Dungeons & Dragons Dice Masters: Faerûn Under Siege","2","2","60","60","60","2016","2","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Castle Ravenloft Board Game","59946","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735141","6.68841","6.97492","2.5095","704","13773","thing","Dungeons & Dragons: Castle Ravenloft Board Game","1","5","60","60","60","2010","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: The Legend of Drizzt Board Game","91872","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","21735146","6.80933","7.27329","2.6036","561","10759","thing","Dungeons & Dragons: The Legend of Drizzt Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse","72125","0","","0","0","0","0","0","0","0","0","1","2","","","","","","28821794","7.75184","7.92612","3.6918","40","25766","thing","Eclipse","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse: Rise of the Ancients","125898","0","","0","0","0","0","0","0","0","0","1","3","","","","","","28821797","7.59813","8.45584","3.6701","0","9506","thing","Eclipse: Rise of the Ancients","2","9","120","120","120","2012","2,3,4,5,6,7,8,9","4,6","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Eight-Minute Empire: Legends","142326","7","","0","1","0","0","0","0","0","0","0","2","","","","","","30162006","6.62384","7.00349","1.9884","783","6799","thing","Eight-Minute Empire: Legends","2","4","32","32","16","2013","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","7","","0","1","0","0","0","0","0","0","0","3","","","","","","34054271","6.84428","6.99531","2.3502","514","32437","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign: Gates of Arkham","166679","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073483","6.8995","7.841","2.5735","0","7870","thing","Elder Sign: Gates of Arkham","1","8","90","90","90","2015","1,2,3,4","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of Ice","189807","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073487","6.30299","7.68098","2.4167","0","4366","thing","Elder Sign: Omens of Ice","1","8","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror","146021","8","","0","1","0","0","0","0","0","0","0","3","","","","","","21737910","7.61141","7.83912","3.31","62","37459","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Eldritch Horror: Forsaken Lore","154842","0","","0","1","0","0","0","0","0","0","0","3","","","","","","24744045","7.60163","8.29551","3.1486","0","15592","thing","Eldritch Horror: Forsaken Lore","1","8","180","180","180","2014","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror: Mountains of Madness","164167","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073486","7.22669","8.21733","3.2708","0","9864","thing","Eldritch Horror: Mountains of Madness","1","8","180","180","180","2014","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Eldritch Horror: Under the Pyramids","181817","0","","0","0","0","0","0","0","0","0","1","3","","","","","","36073494","6.97454","8.38496","3.1154","0","6883","thing","Eldritch Horror: Under the Pyramids","1","8","180","0","180","2015","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Elysium","163968","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30002397","6.98491","7.25506","2.7553","378","11154","thing","Elysium","2","4","60","60","60","2015","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Eminent Domain","68425","9","","0","1","0","0","0","0","0","0","0","3","","","","","","28836210","6.86015","7.07709","2.5029","495","11919","thing","Eminent Domain","2","4","45","45","45","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Eminent Domain: Escalation","136313","9","","0","0","0","0","0","0","0","0","0","3","","","","","","25333655","6.56352","7.80795","2.8776","0","4653","thing","Eminent Domain: Escalation","2","5","60","60","60","2014","2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Eminent Domain: Exotica","163639","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073499","5.86092","7.62807","2.4","0","2343","thing","Eminent Domain: Exotica","2","5","45","45","45","2016","3,4","","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Eminent Domain: Microcosm","163640","7","","0","1","0","0","0","0","0","0","0","3","","","","","","28836212","6.00051","6.49589","1.971","2287","3866","thing","Eminent Domain: Microcosm","2","2","15","15","15","2014","2","2","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Euphoria: Build a Better Dystopia","133848","0","","0","0","0","0","0","0","0","0","1","2","","","","","","21770942","7.00937","7.27891","3.0995","354","11091","thing","Euphoria: Build a Better Dystopia","2","6","60","60","60","2013","2,3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Exodus: Proxima Centauri","122842","7","","0","1","0","0","0","0","0","0","1","1","","","","","","21734901","6.38834","7.19497","3.598","1159","3104","thing","Exodus: Proxima Centauri","2","6","180","180","180","2012","2,3,4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fairy Tale","13823","8","","0","1","0","0","0","0","0","0","0","3","","","","","","23030973","6.56096","6.7431","1.7648","875","11816","thing","Fairy Tale","2","5","30","30","30","2004","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout","232918","0","","0","0","0","0","0","0","0","0","1","4","","","","","","47496922","6.49028","6.99881","2.9618","977","8836","thing","Fallout","1","4","180","180","120","2017","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Favor of the Pharaoh","171011","0","","0","1","0","0","0","0","0","1","0","1","","","","","","30162113","6.32905","6.81998","2","1277","3403","thing","Favor of the Pharaoh","2","4","45","45","45","2015","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Feast for Odin","177736","0","","0","0","0","0","0","0","0","0","1","4","","","","","","37013363","7.88528","8.17582","3.8292","24","17031","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fields of Arle","159675","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46810740","7.64809","8.1135","3.8892","53","10227","thing","Fields of Arle","1","2","120","120","60","2014","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Firenze","75449","0","","0","0","0","0","0","0","0","0","1","2","","","","","","37013329","6.64509","7.28624","2.5425","752","3016","thing","Firenze","2","4","60","60","60","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Five Tribes","157354","7","","0","1","0","0","0","0","0","0","0","4","","","","","","24580660","7.62636","7.77198","2.8571","56","35578","thing","Five Tribes","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Duel: Second Edition","107190","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073510","5.98533","6.90635","1.614","2359","1089","thing","Flash Duel: Second Edition","1","5","15","15","5","2011","2,3,4,5","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flick 'em Up!","169124","7","","0","1","0","0","0","0","0","0","0","1","","","","","","30002535","6.73631","7.00396","1.3412","646","12696","thing","Flick 'em Up!","2","10","45","45","30","2015","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flip City","168679","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073517","6.09735","6.37066","1.7374","1907","6173","thing","Flip City","1","4","50","50","30","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Desert","136063","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21769337","7.04711","7.18053","2.0479","319","38368","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forge War","146221","6","","0","1","0","0","0","0","0","0","0","3","","","","","","28836104","6.39108","7.29494","3.7593","1149","2770","thing","Forge War","1","4","180","180","60","2015","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fortune and Glory: The Cliffhanger Game","95103","4","1","4","0","0","0","0","0","0","0","0","3","","","","","","21774672","6.57994","7.09991","2.8739","846","5720","thing","Fortune and Glory: The Cliffhanger Game","1","8","240","240","90","2011","1,2,3,4,5,6","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Francis Drake","140603","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46956575","6.96339","7.4492","2.9251","400","5554","thing","Francis Drake","3","5","120","120","90","2013","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fresco: Big Box","139991","7","","0","1","0","0","0","0","0","0","0","3","","","","","","23913885","6.61827","7.7557","2.7907","0","3971","thing","Fresco: Big Box","2","4","60","60","60","2014","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"FUSE","171273","5","","0","1","0","0","0","0","0","0","0","3","","","","","","36073538","6.77284","7.08288","1.6887","603","9029","thing","FUSE","1","5","10","10","10","2015","1,2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gaia Project","220308","9","","0","1","0","0","0","0","0","0","0","1","","","","","","53068340","8.14126","8.5124","4.3059","9","14072","thing","Gaia Project","1","4","150","150","60","2017","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Galactic Strike Force","137811","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073544","5.56053","5.7445","3.2857","8598","1127","thing","Galactic Strike Force","2","6","60","60","60","2014","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Galactic Strike Force: Guardians of Volneth","153575","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073545","5.53809","6.38083","3","0","484","thing","Galactic Strike Force: Guardians of Volneth","2","6","60","60","60","2014","2,3","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","0","","0","0","0","0","0","0","0","0","0","3","","","","","","46810810","7.44268","7.64387","3.7059","104","34010","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Game of Thrones: The Card Game (Second Edition)","169255","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073546","6.97707","7.64483","3.4958","386","7090","thing","A Game of Thrones: The Card Game (Second Edition)","2","4","120","120","60","2015","2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
